Observation,Action
"[ 0.00459394  1.424763    0.23233262  0.2947628  -0.00525882 -0.05208295
  0.          0.        ]",0
"[ 0.00689106  1.4307963   0.2323407   0.26813322 -0.00786133 -0.05205489
  0.          0.        ]",0
"[ 0.00926123  1.4362351   0.24149756  0.24169107 -0.01229751 -0.08873206
  0.          0.        ]",3
"[ 0.01163149  1.4410741   0.24151127  0.21502131 -0.0167322  -0.08870196
  0.          0.        ]",0
"[ 0.0140686   1.4453185   0.24989323  0.18855765 -0.02284318 -0.12223089
  0.          0.        ]",3
"[ 0.01650591  1.4489634   0.24991183  0.16188668 -0.02895246 -0.12219693
  0.          0.        ]",0
"[ 0.01902914  1.4519968   0.2606886   0.13463584 -0.03722375 -0.16544092
  0.          0.        ]",3
"[ 0.02149248  1.4544402   0.25316337  0.10841343 -0.04397387 -0.13501498
  0.          0.        ]",1
"[ 0.02402954  1.4562755   0.26240298  0.08128323 -0.05257836 -0.17210582
  0.          0.        ]",3
"[ 0.02656698  1.4575112   0.26242855  0.05460893 -0.06118038 -0.17205614
  0.          0.        ]",0
"[ 0.0290247   1.4581466   0.2524273   0.02794505 -0.06777541 -0.13191226
  0.          0.        ]",1
"[ 3.1410314e-02  1.4581827e+00  2.4338508e-01  1.3883959e-03
 -7.2555535e-02 -9.5611311e-02  0.0000000e+00  0.0000000e+00]",1
"[ 0.03388777  1.4576081   0.25490063 -0.02590766 -0.07965169 -0.1419361
  0.          0.        ]",3
"[ 0.03636398  1.4576967   0.2550957   0.00353155 -0.08706773 -0.14833443
  0.          0.        ]",2
"[ 0.03884039  1.4571857   0.25511497 -0.02315227 -0.09448279 -0.14831463
  0.          0.        ]",0
"[ 0.0412301   1.4560852   0.24421696 -0.04925299 -0.09969822 -0.10431781
  0.          0.        ]",1
"[ 0.04361992  1.454385    0.2442307  -0.07592457 -0.10491377 -0.10432048
  0.          0.        ]",0
"[ 0.04606848  1.4520684   0.25162205 -0.10343897 -0.11163149 -0.13436688
  0.          0.        ]",3
"[ 0.04867735  1.4504837   0.26735768 -0.07092846 -0.11806618 -0.12870571
  0.          0.        ]",2
"[ 0.05128651  1.4482992   0.26737317 -0.09761237 -0.12450042 -0.12869647
  0.          0.        ]",0
"[ 0.05397692  1.4454992   0.2775628  -0.12517406 -0.13299756 -0.16995777
  0.          0.        ]",3
"[ 0.05673008  1.4420791   0.28544828 -0.15294297 -0.14310843 -0.2022355
  0.          0.        ]",3
"[ 0.05956116  1.4380476   0.29519403 -0.18037361 -0.15518504 -0.24155378
  0.          0.        ]",3
"[ 0.06232529  1.4334354   0.28673258 -0.20610115 -0.16552272 -0.20677188
  0.          0.        ]",1
"[ 0.0650117   1.4282253   0.27702412 -0.23251785 -0.17390952 -0.16773564
  0.          0.        ]",1
"[ 0.06769828  1.4224161   0.27702263 -0.25919032 -0.18229623 -0.16773477
  0.          0.        ]",0
"[ 0.07030344  1.4160185   0.2668088  -0.2851207  -0.18862104 -0.12649572
  0.          0.        ]",1
"[ 0.07296953  1.4097669   0.27305317 -0.2786806  -0.19509979 -0.12957528
  0.          0.        ]",2
"[ 0.07563572  1.402916    0.27305216 -0.30535072 -0.20157856 -0.129575
  0.          0.        ]",0
"[ 0.07836942  1.395434    0.28157654 -0.33366728 -0.20985481 -0.16552497
  0.          0.        ]",3
"[ 0.08103152  1.3873708   0.27257806 -0.3592889  -0.21628621 -0.12862776
  0.          0.        ]",1
"[ 0.08395338  1.3797572   0.29806858 -0.3392544  -0.22223848 -0.11904548
  0.          0.        ]",2
"[ 0.08694925  1.3715234   0.3073604  -0.36714286 -0.23010743 -0.15737897
  0.          0.        ]",3
"[ 0.09003659  1.3640734   0.31704518 -0.33242902 -0.23853748 -0.168601
  0.          0.        ]",2
"[ 0.09306526  1.35661     0.31183785 -0.3331866  -0.2476586  -0.18242246
  0.          0.        ]",2
"[ 0.09629001  1.3497955   0.33149865 -0.30441317 -0.2568435  -0.18369822
  0.          0.        ]",2
