Observation,Action
"0.0046554566,1.4247642,0.24004106,0.29480776,-0.006804722,-0.08300382,0.0,0.0",3
"0.007097912,1.430806,0.25056762,0.26848212,-0.013059786,-0.1251128,0.0,0.0",3
"0.009613419,1.4362531,0.25973737,0.24200664,-0.021147272,-0.16176498,0.0,0.0",3
"0.012294674,1.4426386,0.27560848,0.28367472,-0.028544638,-0.14796099,0.0,0.0",2
"0.014976216,1.4484245,0.2756292,0.2569899,-0.03594172,-0.14795516,0.0,0.0",0
"0.017515564,1.4546335,0.2622217,0.27573326,-0.044132914,-0.16383915,0.0,0.0",2
"0.020140935,1.4602292,0.27299023,0.248363,-0.05448583,-0.20707726,0.0,0.0",3
"0.022984695,1.4665159,0.29399538,0.2790322,-0.06402355,-0.19077195,0.0,0.0",2
"0.025901984,1.4721925,0.30322683,0.25176474,-0.07541653,-0.2278802,0.0,0.0",3
"0.028886128,1.477263,0.3115835,0.22463883,-0.08848309,-0.26135525,0.0,0.0",3
"0.03179083,1.4817371,0.3015986,0.19814964,-0.099539824,-0.2211549,0.0,0.0",1
"0.034780502,1.4855936,0.3122633,0.17046718,-0.112754814,-0.26432377,0.0,0.0",3
"0.0379652,1.4898084,0.3311654,0.18631873,-0.12539284,-0.25278395,0.0,0.0",2
"0.041065313,1.4934456,0.32049695,0.16074447,-0.13584903,-0.20914266,0.0,0.0",1
"0.04416599,1.4964845,0.32052526,0.134069,-0.1463043,-0.209124,0.0,0.0",0
"0.04733648,1.4989069,0.329288,0.106409,-0.15854327,-0.24480173,0.0,0.0",3
"0.050507545,1.500731,0.32932073,0.07972549,-0.17077954,-0.24474736,0.0,0.0",0
"0.053581428,1.5019746,0.31709874,0.054123025,-0.18052527,-0.19493255,0.0,0.0",1
"0.056740664,1.5026034,0.32776213,0.026462993,-0.19243398,-0.23819597,0.0,0.0",3
"0.059989452,1.5026131,0.33895522,-0.0014464426,-0.20662318,-0.2838092,0.0,0.0",3
"0.063318826,1.5019999,0.3490197,-0.029583134,-0.22288829,-0.32533175,0.0,0.0",3
"0.066709995,1.5007608,0.35674337,-0.057837963,-0.24078219,-0.3579101,0.0,0.0",3
"0.07002535,1.4989576,0.34706837,-0.08276297,-0.25662255,-0.31683582,0.0,0.0",1
"0.073624134,1.4976012,0.37491167,-0.06299304,-0.27201334,-0.30784333,0.0,0.0",2
"0.077451706,1.496765,0.39766386,-0.040005043,-0.2873121,-0.30597496,0.0,0.0",2
"0.08134842,1.4953036,0.40627605,-0.0683224,-0.3044409,-0.34257564,0.0,0.0",3
"0.08533516,1.4937872,0.4152914,-0.07097185,-0.32167584,-0.34469932,0.0,0.0",2
"0.08944912,1.4924014,0.42805862,-0.065397084,-0.33906445,-0.34777212,0.0,0.0",2
"0.09348164,1.4904712,0.41761726,-0.08923241,-0.35412398,-0.30119044,0.0,0.0",1
"0.097575665,1.4885346,0.42401797,-0.08975568,-0.3695517,-0.30855453,0.0,0.0",2
"0.10192575,1.4867449,0.44929165,-0.08330669,-0.38470584,-0.30308285,0.0,0.0",2
"0.10627661,1.484358,0.44928107,-0.10999122,-0.39985973,-0.303078,0.0,0.0",0
"0.11069832,1.4813342,0.45809937,-0.13897161,-0.4169796,-0.34239852,0.0,0.0",3
"0.11518307,1.4776816,0.46586385,-0.1675887,-0.4358183,-0.3767743,0.0,0.0",3
"0.11972246,1.4733839,0.47268677,-0.19697274,-0.45632806,-0.41019487,0.0,0.0",3
"0.124193385,1.4685482,0.46372622,-0.22047968,-0.47469896,-0.367418,0.0,0.0",1
"0.12887736,1.463733,0.48486906,-0.21977141,-0.49306744,-0.36736953,0.0,0.0",2
"0.13384143,1.4588733,0.51244223,-0.2218353,-0.5111042,-0.36073598,0.0,0.0",2
"0.13887072,1.453363,0.52053845,-0.25162673,-0.5311312,-0.4005406,0.0,0.0",3
"0.14422664,1.4479457,0.5527969,-0.24764231,-0.5509377,-0.39613065,0.0,0.0",2
"0.1495843,1.4419332,0.5527715,-0.27433714,-0.57074374,-0.39612,0.0,0.0",0
"0.15488997,1.4353652,0.5459757,-0.29862222,-0.5889171,-0.3634662,0.0,0.0",1
"0.16019726,1.428201,0.5459529,-0.32531205,-0.60709,-0.36345792,0.0,0.0",0
"0.16558294,1.4203542,0.5558051,-0.35688135,-0.6279385,-0.41697043,0.0,0.0",3
"0.170971,1.4119121,0.5557734,-0.38357773,-0.6487864,-0.41695794,0.0,0.0",0
"0.17641564,1.4028122,0.56271964,-0.41387013,-0.6715681,-0.45563418,0.0,0.0",3
"0.18193226,1.3930237,0.5716382,-0.4458727,-0.6969998,-0.5086336,0.0,0.0",3
"0.18738365,1.3827262,0.5627706,-0.46772274,-0.7198987,-0.45797834,0.0,0.0",1
"0.1932313,1.3724407,0.60194445,-0.46739066,-0.74266297,-0.4552849,0.0,0.0",2
"0.1991457,1.3614633,0.6101948,-0.49963748,-0.7680672,-0.50808394,0.0,0.0",3
"0.20501748,1.3499671,0.6040495,-0.52203524,-0.7914624,-0.4679061,0.0,0.0",1
"0.21084099,1.3379512,0.59736717,-0.5443617,-0.81274855,-0.4257222,0.0,0.0",1
"0.21672554,1.3252515,0.6047882,-0.5761778,-0.8364661,-0.47435102,0.0,0.0",3
"0.22289649,1.3124018,0.6331038,-0.58317685,-0.86032444,-0.47716767,0.0,0.0",2
"0.22901526,1.2990367,0.62597096,-0.6051453,-0.88190395,-0.43159065,0.0,0.0",1
"0.23507747,1.2851766,0.61825156,-0.6259115,-0.90077883,-0.3774979,0.0,0.0",1
"0.24149266,1.271075,0.65317094,-0.63672435,-0.9195053,-0.37452957,0.0,0.0",2
"0.24796247,1.2562617,0.6600441,-0.6700354,-0.94106,-0.4310947,0.0,0.0",3
"0.25501356,1.2415873,0.7179424,-0.6641866,-0.9628719,-0.4362378,0.0,0.0",2
"0.26201516,1.226433,0.71095777,-0.68405974,-0.98177725,-0.3781063,0.0,0.0",1
"0.26986352,1.211539,0.79536164,-0.67263824,-1.0007114,-0.37868467,0.0,0.0",2
"0.27766865,1.196167,0.7891995,-0.69238883,-1.0167798,-0.3213671,0.0,0.0",1
"0.2855155,1.1801004,0.7943784,-0.7247051,-1.0352064,-0.36853355,0.0,0.0",3
"0.29333362,1.1635352,0.79003847,-0.74562925,-1.0513234,-0.3223397,0.0,0.0",1
"0.30170232,1.1469891,0.84506834,-0.745099,-1.0678327,-0.3301848,0.0,0.0",2
"0.31003445,1.1299411,0.8400399,-0.7660951,-1.0819801,-0.28294852,0.0,0.0",1
"0.31836814,1.1122943,0.8400177,-0.79276973,-1.0961274,-0.28294462,0.0,0.0",0
"0.32670346,1.0940487,0.8399954,-0.81944424,-1.1102744,-0.28294078,0.0,0.0",0
"0.33500203,1.075299,0.8351372,-0.84049046,-1.1220882,-0.23627463,0.0,0.0",1
"0.343332,1.0558356,0.83925676,-0.87385917,-1.136539,-0.28901583,0.0,0.0",3
"0.3516636,1.0357734,0.83923304,-0.90053326,-1.1509895,-0.28901166,0.0,0.0",0
"0.36082,1.0155027,0.9213419,-0.90958154,-1.1649867,-0.2799422,0.0,0.0",2
"0.37042817,0.9946754,0.96606046,-0.9339264,-1.1782821,-0.26590803,0.0,0.0",2
"0.38005608,0.9731668,0.9685744,-0.96543884,-1.1934596,-0.30355024,0.0,0.0",3
"0.38965693,0.9511711,0.9647129,-0.9855017,-1.2060343,-0.25149268,0.0,0.0",1
"0.39924115,0.9286677,0.9621774,-1.0067842,-1.2165287,-0.20988688,0.0,0.0",1
"0.40882635,0.90556496,0.9621643,-1.0334541,-1.2270229,-0.20988524,0.0,0.0",0
"0.41838408,0.881966,0.95849293,-1.053978,-1.2350864,-0.16127056,0.0,0.0",1
"0.4279689,0.8576363,0.9621216,-1.0883919,-1.24615,-0.22127199,0.0,0.0",3
"0.43756828,0.83262235,0.96405566,-1.120053,-1.2591236,-0.2594708,0.0,0.0",3
"0.44716892,0.80700904,0.9640355,-1.1467241,-1.272097,-0.25946775,0.0,0.0",0
"0.45680237,0.78067845,0.9679241,-1.1804268,-1.2878367,-0.31479335,0.0,0.0",3
"0.46741152,0.75394934,1.0650721,-1.1977524,-1.3029124,-0.30151394,0.0,0.0",2
"0.47804117,0.72652316,1.0674747,-1.230251,-1.3202372,-0.34649673,0.0,0.0",3
"0.48866025,0.69859916,1.0655862,-1.2509192,-1.3352743,-0.30074018,0.0,0.0",1
"0.49984083,0.67050505,1.1216605,-1.2589557,-1.3509945,-0.31440368,0.0,0.0",2
"0.5118554,0.642224,1.2048943,-1.2675884,-1.3671144,-0.3223998,0.0,0.0",2
"0.52483684,0.6137869,1.3014108,-1.2748389,-1.3836703,-0.33111888,0.0,0.0",2
"0.5378313,0.58462065,1.3029459,-1.3092158,-1.4031419,-0.3894305,0.0,0.0",3
"0.55083436,0.55476147,1.3037477,-1.3414664,-1.4247171,-0.43150362,0.0,0.0",3
"0.5646216,0.5242682,1.3816214,-1.3692642,-1.4456598,-0.4188548,0.0,0.0",2
"0.5784168,0.49307457,1.3822098,-1.4019608,-1.468874,-0.4642846,0.0,0.0",3
"0.59312236,0.46116123,1.4726479,-1.4334466,-1.4912915,-0.448352,0.0,0.0",2
"0.6078323,0.42864847,1.4725848,-1.4601171,-1.5137084,-0.4483365,0.0,0.0",0
"0.6225338,0.39566204,1.4710916,-1.4792641,-1.5332742,-0.39131522,0.0,0.0",1
"0.637236,0.36195388,1.4708581,-1.5131981,-1.5555779,-0.44607568,0.0,0.0",3
"0.6519426,0.32764578,1.4707955,-1.5398659,-1.5778809,-0.44606042,0.0,0.0",0
"0.66748846,0.29268444,1.5541995,-1.5688057,-1.600046,-0.4433032,0.0,0.0",2
"0.68303853,0.25712293,1.5541377,-1.5954715,-1.6222105,-0.44328827,0.0,0.0",0
"0.69859296,0.22096111,1.554076,-1.6221365,-1.6443741,-0.4432733,0.0,0.0",0
"0.71414185,0.18410876,1.5528239,-1.6541668,-1.6685741,-0.4839983,0.0,0.0",3
"0.7306927,0.14656527,1.6524194,-1.6849631,-1.6929452,-0.48742348,0.0,0.0",2
"0.747237,0.108310826,1.6508154,-1.7181742,-1.719806,-0.5372141,0.0,0.0",3
"0.764567,0.069027625,1.7287686,-1.7633145,-1.7458969,-0.5218206,0.0,0.0",2
"0.78190935,0.029230652,1.7297161,-1.7847642,-1.7700155,-0.482371,0.0,0.0",1
"0.79923475,-0.011278751,1.7268606,-1.818031,-1.796688,-0.53344995,0.0,0.0",3
"0.8165878,-0.05225997,1.7296629,-1.8369453,-1.820383,-0.47390088,0.0,0.0",1
"0.8311022,-0.08771645,-0.034061942,-0.22947775,-1.8722934,-3.3415947,0.0,0.0",3
"0.003359604,1.4278566,0.16874914,0.38388112,-0.0040038526,-0.040986273,0.0,0.0",2
"0.005119419,1.435898,0.18042967,0.3573807,-0.008392719,-0.08778566,0.0,0.0",3
"0.00694828,1.4433379,0.18906268,0.33061406,-0.014508692,-0.12233081,0.0,0.0",3
"0.008708286,1.4501733,0.18042225,0.3037439,-0.018888524,-0.0876046,0.0,0.0",1
"0.010531616,1.4564149,0.1883651,0.27731484,-0.024856888,-0.11937801,0.0,0.0",3
"0.012437249,1.4620435,0.19870159,0.25000647,-0.0328975,-0.16082753,0.0,0.0",3
"0.014277172,1.4670676,0.19043824,0.22313467,-0.039278254,-0.12762675,0.0,0.0",1
"0.0160244,1.4714928,0.17881541,0.19656399,-0.04332572,-0.080956645,0.0,0.0",1
"0.017692756,1.476815,0.17150888,0.23639876,-0.047953315,-0.09256025,0.0,0.0",2
"0.019261265,1.4823682,0.16211998,0.24663483,-0.05317897,-0.10452243,0.0,0.0",2
"0.020731831,1.4873202,0.1498641,0.21998459,-0.055947,-0.055365544,0.0,0.0",1
"0.022110652,1.4916693,0.1383495,0.19327001,-0.056411225,-0.009285466,0.0,0.0",1
"0.02348938,1.4954181,0.13835043,0.16660148,-0.05687586,-0.009293305,0.0,0.0",0
"0.024785519,1.4985785,0.12796183,0.14052185,-0.055248313,0.032553818,0.0,0.0",1
"0.02611475,1.5019951,0.13127157,0.15191546,-0.05361396,0.032690126,0.0,0.0",2
"0.02744398,1.5048118,0.13126633,0.12524004,-0.0519794,0.03269429,0.0,0.0",0
"0.028681183,1.5070246,0.11975591,0.09848214,-0.04804453,0.0787042,0.0,0.0",1
"0.029829407,1.508638,0.10858609,0.071887225,-0.04187683,0.12336518,0.0,0.0",1
"0.030978203,1.510776,0.10879537,0.09518327,-0.03585299,0.120487556,0.0,0.0",2
"0.032042693,1.5123082,0.09821732,0.06827081,-0.027718306,0.16270849,0.0,0.0",1
"0.033012103,1.5132459,0.08630646,0.041847028,-0.01720271,0.21033064,0.0,0.0",1
"0.033884525,1.5135963,0.07414394,0.015667731,-0.0042561344,0.25895482,0.0,0.0",1
"0.034819793,1.5133582,0.08204332,-0.010580213,0.0070987353,0.22711773,0.0,0.0",3
"0.035754777,1.5125221,0.08201151,-0.037259784,0.018453004,0.22710562,0.0,0.0",0
"0.036689855,1.5110662,0.08200463,-0.06489333,0.02980618,0.22706315,0.0,0.0",0
"0.037624836,1.509012,0.08200501,-0.09157078,0.04115924,0.22706115,0.0,0.0",0
"0.038389873,1.5076911,0.06564067,-0.059038874,0.051896267,0.2147408,0.0,0.0",2
"0.039076425,1.5057669,0.05579274,-0.086017296,0.06460881,0.25425106,0.0,0.0",1
"0.039762784,1.5032446,0.0557939,-0.11269747,0.07732124,0.2542482,0.0,0.0",0
"0.04053364,1.5001315,0.066400416,-0.13895391,0.087903656,0.21164851,0.0,0.0",3
"0.041126538,1.4972029,0.049230598,-0.13077901,0.09787874,0.19950174,0.0,0.0",2
"0.04162235,1.4946918,0.039677612,-0.112285845,0.10771386,0.1967023,0.0,0.0",2
"0.04219208,1.4915873,0.04894346,-0.1385821,0.115688935,0.15950207,0.0,0.0",3
"0.042833805,1.4878926,0.0579821,-0.16469863,0.12184196,0.123060286,0.0,0.0",3
"0.043561555,1.4836111,0.06877823,-0.19061787,0.12581456,0.07945209,0.0,0.0",3
"0.04422884,1.4787135,0.061178487,-0.21814682,0.13133802,0.11046924,0.0,0.0",1
"0.044759464,1.4746876,0.047554445,-0.17943296,0.13682969,0.109833196,0.0,0.0",2
"0.0453702,1.4700739,0.05760451,-0.20536608,0.14028968,0.0691997,0.0,0.0",3
"0.045907784,1.4648539,0.048443753,-0.23251753,0.1455917,0.10604091,0.0,0.0",1
"0.046367742,1.4590245,0.03870859,-0.25980726,0.15285675,0.14530137,0.0,0.0",1
"0.046630573,1.4537525,0.019376198,-0.23504095,0.1597649,0.13816276,0.0,0.0",2
"0.0468935,1.447881,0.019377127,-0.26171157,0.16667302,0.13816233,0.0,0.0",0
"0.047247697,1.4414378,0.030886194,-0.2868791,0.17121406,0.090821184,0.0,0.0",3
"0.047685243,1.4344074,0.041332792,-0.31274498,0.17364217,0.04856188,0.0,0.0",3
"0.048054982,1.4267492,0.03276704,-0.34085587,0.1778543,0.08424296,0.0,0.0",1
"0.04836502,1.4184653,0.025241088,-0.36887982,0.18364073,0.11572863,0.0,0.0",1
